# Resolved pools list by minerstat for msOS
# Updated Fri Jun  6 03:00:33 UTC 2025
104.26.4.192 2miners.com
34.111.56.74 beamv3.usa.nicehash.com
172.67.180.33 bibop.net
188.165.24.209 binarium-v1.eu.mine.zpool.ca
198.50.168.213 binarium-v1.jp.mine.zpool.ca
198.50.168.213 binarium-v1.na.mine.zpool.ca
172.65.205.242 bitcoin.viabtc.com
172.65.223.122 bitcoin.viabtc.top
103.249.70.7 bitcore.asia.mine.zergpool.com
188.165.24.209 bitcore.eu.mine.zpool.ca
198.50.168.213 bitcore.jp.mine.zpool.ca
103.249.70.7 bitcore.mine.zergpool.com
198.50.168.213 bitcore.na.mine.zpool.ca
51.79.251.11 blake2b.asia.mine.zergpool.com
188.165.24.209 blake2b.eu.mine.zpool.ca
103.249.70.7 blake2b.mine.zergpool.com
198.50.168.213 blake2b.na.mine.zpool.ca
51.79.251.11 blake2s.asia.mine.zergpool.com
188.165.24.209 blake2s.eu.mine.zpool.ca
198.50.168.213 blake2s.jp.mine.zpool.ca
103.249.70.7 blake2s.mine.zergpool.com
198.50.168.213 blake2s.na.mine.zpool.ca
74.48.185.37 blake2s.pool.atomminer.com
198.50.168.213 blake2s.sea.mine.zpool.ca
188.165.24.209 blakecoin.eu.mine.zpool.ca
76.223.54.146 blockify.xyz
104.21.64.1 blockmasters.co
51.79.251.11 bmw512.asia.mine.zergpool.com
141.95.55.97 bmw512.eu.mine.zergpool.com
188.165.24.209 bmw512.eu.mine.zpool.ca
103.249.70.7 bmw512.mine.zergpool.com
198.50.168.213 bmw512.na.mine.zpool.ca
172.65.231.147 bs.poolbinance.com
103.224.182.238 bsod.pw
8.209.81.41 bsv.ukrpool.com
172.65.196.131 btc-eu.f2pool.com
35.202.11.182 btc-eu.luxor.tech
172.65.196.131 btc-mow.f2pool.com
172.65.196.131 btc-us.f2pool.com
35.202.11.182 btc-us.luxor.tech
104.21.73.242 btc.blockwarepool.com
172.65.196.131 btc.f2pool.com
35.244.212.109 btc.luxor.tech
172.65.253.87 btc.ss.poolin.com
172.65.34.131 btc.trustpool.ru
3.65.178.51 btc.ukrpool.com
172.65.233.152 btc.viabtc.com
172.65.253.106 btc.viabtc.top
162.19.139.120 btcp.2miners.com
54.37.81.148 btcp.suprnova.cc
207.244.67.139 btcv.gomine.pro
162.19.139.120 btcz.2miners.com
141.94.138.162 btcz.altpool.pro
147.135.220.159 btcz.suprnova.cc
162.19.139.181 btg.2miners.com
77.247.179.84 btg.hashcity.org
76.223.54.146 btg.pool.gold
145.239.0.50 btg.suprnova.cc
37.187.226.146 bth.altpool.pro
18.185.240.102 bze.pcmining.xyz
51.79.251.11 c11.asia.mine.zergpool.com
188.165.24.209 c11.eu.mine.zpool.ca
198.50.168.213 c11.jp.mine.zpool.ca
103.249.70.7 c11.mine.zergpool.com
198.50.168.213 c11.na.mine.zpool.ca
51.222.12.70 ca-qrl.miningocean.org
155.138.134.202 ca-tor01.miningrigrentals.com
51.222.12.70 ca-upx.miningocean.org
167.114.208.25 ca.haven.miner.rocks
51.222.248.90 ca.monero.herominers.com
155.138.150.133 ca.rvn.minermore.com
68.183.195.129 ca.stratu.ms
143.110.212.150 ca.stratum.slushpool.com
168.119.79.208 cfx-eu.ss.poolflare.net
217.182.199.123 cfx-eu.ss.poolflare.net
192.99.233.13 cfx-us.ss.poolflare.net
192.99.233.13 cfx.ss.poolflare.net
217.182.199.123 cfx.ss.poolflare.net
216.219.85.122 chicago01.hashvault.pro
172.65.222.4 ckb.antpool.com
172.65.230.42 ckb.f2pool.com
203.107.33.230 ckb.sparkpool.com
39.107.217.77 ckb.stratum.hashpool.com
162.19.139.120 clo.2miners.com
13.248.169.48 clopool.pro
168.119.146.54 cluster.aionpool.tech
172.67.152.150 cmm-eu.coinblockers.com
3.143.54.106 cmra.miningpool.fun
38.239.38.199 cnpool.cc
51.210.32.161 coinotron.com
184.190.233.217 coins4u.cc
172.67.144.254 comining.io
188.165.198.144 conceal.miner.rocks
104.21.34.54 coolpool.top
144.76.26.181 cpacoin.my-mining-pool.de
141.8.199.177 cpu-pool.com
51.79.251.11 cpupower.asia.mine.zergpool.com
141.95.55.97 cpupower.eu.mine.zergpool.com
188.165.24.209 cpupower.eu.mine.zpool.ca
103.249.70.7 cpupower.mine.zergpool.com
69.16.230.165 crypit.net
103.224.182.238 cryptodredge-ax16r-oeu.bsod.pw
199.59.243.228 cryptonote.social
162.19.139.181 ctxc.2miners.com
39.107.213.229 cuckoo.cortexmint.com
35.244.231.52 cuckoocycle.br.nicehash.com
35.244.231.52 cuckoocycle.eu.nicehash.com
35.244.231.52 cuckoocycle.hk.nicehash.com
35.244.231.52 cuckoocycle.in.nicehash.com
35.244.231.52 cuckoocycle.jp.nicehash.com
35.244.231.52 cuckoocycle.usa.nicehash.com
34.149.10.66 daggerhashimoto.br.nicehash.com
34.149.10.66 daggerhashimoto.eu.nicehash.com
34.149.10.66 daggerhashimoto.hk.nicehash.com
34.149.10.66 daggerhashimoto.in.nicehash.com
34.149.10.66 daggerhashimoto.jp.nicehash.com
34.149.10.66 daggerhashimoto.usa.nicehash.com
35.202.11.182 dash-asia.luxor.tech
35.202.11.182 dash-eu.luxor.tech
8.217.23.131 dash.f2pool.com
172.65.235.96 dash.ss.poolin.com
217.182.199.85 dash.suprnova.cc
13.248.169.48 dbix-us.maxhash.org
5.79.68.109 dbix.hashcity.org
35.202.11.182 dcr-eu.luxor.tech
35.202.11.182 dcr-us.luxor.tech
57.129.83.51 de.ckpool.org
134.122.86.59 de.stratu.ms
141.95.72.61 de01.supportxmr.com
141.95.72.60 de02.supportxmr.com
188.165.24.209 decred.eu.mine.zpool.ca
198.50.168.213 decred.jp.mine.zpool.ca
198.50.168.213 decred.na.mine.zpool.ca
188.165.24.209 dedal.eu.mine.zpool.ca
13.248.169.48 defis-us.ravepool.com
47.107.15.105 dero.antpool.com
188.165.198.144 dero.miner.rocks
35.76.39.213 dero.ss.dxpool.com
5.9.193.22 dgbo.suprnova.cc
5.9.193.22 dgbq.suprnova.cc
54.37.81.148 dgbs.suprnova.cc
13.248.169.48 digihash.co
108.161.219.201 dlinodes.com
178.128.242.134 donate.v2.xmrig.com
20.193.89.74 duckiepool.com
5.79.68.107 dvt.gomine.pro
35.78.144.69 dxpool.com
145.239.0.126 dyn.suprnova.cc
34.111.115.126 eaglesong.eu.nicehash.com
34.111.115.126 eaglesong.hk.nicehash.com
34.111.115.126 eaglesong.usa.nicehash.com
155.138.233.65 east.us.rvn.minermore.com
198.50.168.213 eccak.na.mine.zpool.ca
185.178.208.137 egem-esoteria.icanmining.ru
45.43.30.3 egem.digipools.org
162.19.139.182 ella.2miners.com
45.43.30.4 ella.digipools.org
47.89.180.253 em.huobipool.com
145.239.0.106 emc2.suprnova.cc
51.79.251.11 equihash.asia.mine.zergpool.com
35.244.175.27 equihash.br.nicehash.com
141.95.55.97 equihash.eu.mine.zergpool.com
198.50.168.213 equihash.eu.mine.zpool.ca
35.244.175.27 equihash.eu.nicehash.com
18.139.133.227 equihash.f2pool.com
35.244.175.27 equihash.hk.nicehash.com
35.244.175.27 equihash.in.nicehash.com
198.50.168.213 equihash.jp.mine.zpool.ca
35.244.175.27 equihash.jp.nicehash.com
34.98.72.143 equihash.luxor.tech
103.249.70.7 equihash.mine.zergpool.com
51.178.76.133 equihash.mining-dutch.nl
149.56.111.148 equihash.na.mine.zergpool.com
198.50.168.213 equihash.na.mine.zpool.ca
198.50.168.213 equihash.sea.mine.zpool.ca
35.244.175.27 equihash.usa.nicehash.com
51.79.251.11 equihash125.asia.mine.zergpool.com
141.95.55.97 equihash125.eu.mine.zergpool.com
103.249.70.7 equihash125.mine.zergpool.com
149.56.111.148 equihash125.na.mine.zergpool.com
198.50.168.213 equihash125.na.mine.zpool.ca
51.79.251.11 equihash144.asia.mine.zergpool.com
141.95.55.97 equihash144.eu.mine.zergpool.com
188.165.24.209 equihash144.eu.mine.zpool.ca
198.50.168.213 equihash144.jp.mine.zpool.ca
103.249.70.7 equihash144.mine.zergpool.com
149.56.111.148 equihash144.na.mine.zergpool.com
198.50.168.213 equihash144.na.mine.zpool.ca
198.50.168.213 equihash144.sea.mine.zpool.ca
51.79.251.11 equihash192.asia.mine.zergpool.com
141.95.55.97 equihash192.eu.mine.zergpool.com
188.165.24.209 equihash192.eu.mine.zpool.ca
198.50.168.213 equihash192.jp.mine.zpool.ca
103.249.70.7 equihash192.mine.zergpool.com
149.56.111.148 equihash192.na.mine.zergpool.com
198.50.168.213 equihash192.na.mine.zpool.ca
198.50.168.213 equihash192.sea.mine.zpool.ca
188.165.24.209 equihash96.eu.mine.zpool.ca
198.50.168.213 equihash96.na.mine.zpool.ca
8.136.41.145 es.huobipool.com
76.223.54.146 etc-eu.maxhash.org
89.108.95.29 etc-solo.baikalmine.com
167.86.107.32 etc-solo.wattpool.net
13.248.169.48 etc-us.maxhash.org
135.125.8.177 etc.altpool.pro
45.147.200.69 etc.coolpool.top
45.43.30.3 etc.digipools.org
35.183.200.119 etc.ethashpool.com
104.21.80.1 etc.ethermine.org
172.65.254.95 etc.f2pool.com
5.79.68.109 etc.hashcity.org
138.201.20.89 etc.pool.minergate.com
37.27.16.41 etc.pool.zet-tech.eu
172.67.211.120 etc.solomine.org
103.224.182.253 etcc.mole-pool.net
188.132.174.88 etcturk.com
185.178.208.137 eth-esoteria.icanmining.ru
172.65.174.106 eth-eu.f2pool.com
76.223.54.146 eth-eu.maxhash.org
172.65.233.185 eth-eu.sparkpool.com
172.65.174.106 eth-na.f2pool.com
167.86.74.33 eth-solo.wattpool.net
172.65.174.106 eth-us.f2pool.com
13.248.169.48 eth-us.maxhash.org
51.195.88.15 eth.2miners.com
141.95.3.13 eth.altpool.pro
45.43.30.3 eth.digipools.org
35.183.200.119 eth.ethashpool.com
172.65.174.106 eth.f2pool.com
5.79.68.109 eth.hashcity.org
34.90.112.127 eth.hiveon.net
94.130.102.210 eth.pool.minergate.com
95.217.117.31 eth.pool.zet-tech.eu
18.142.208.193 eth.ukrpool.com
138.68.130.227 ethash-eu.unmineable.com
174.138.53.224 ethash-us.unmineable.com
51.79.251.11 ethash.asia.mine.zergpool.com
141.95.55.97 ethash.eu.mine.zergpool.com
103.249.70.7 ethash.mine.zergpool.com
149.56.111.148 ethash.na.mine.zergpool.com
138.68.130.227 ethash.tron-mining.com
138.68.130.227 ethash.unmineable.com
149.56.143.200 ether1-solo.wattpool.net
18.158.132.28 ethereum.trustpool.ru
104.21.112.1 ethermine.org
172.65.174.106 ethv2-eu.f2pool.com
176.9.119.47 etnx.pool-pay.com
162.19.139.119 etp.2miners.com
82.192.82.225 etp.sandpool.org
188.166.37.58 eu-01.miningrigrentals.com
